Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.6,7.75,7.5833330000000005,7.683333,5.375627,860000
2000-01-04,7.65,7.75,7.466667,7.5416669999999995,5.276509,645000
2000-01-05,7.5,7.6666669999999995,7.5,7.6,5.317323,595400
2000-01-06,7.566667,7.683333,7.55,7.65,5.352304,862400
2000-01-07,7.633333,7.741667,7.633333,7.733333,5.41061,930600
2000-01-10,7.7,7.7,7.5,7.608333,5.323153,570600
2000-01-11,7.608333,7.65,7.5,7.508333,5.253189,944000
2000-01-12,7.475,7.516667,7.316667,7.45,5.212376,2582000
2000-01-13,7.466667,7.758333,7.4583330000000005,7.691667,5.381456,2255000
2000-01-14,7.658333,7.658333,7.591667,7.65,5.352304,1262000
2000-01-18,7.533333,7.5833330000000005,7.491667,7.533333,5.2706800000000005,1467000
2000-01-19,7.533333,7.633333,7.533333,7.6,5.317323,1627400
2000-01-20,7.6,7.783333,7.5833330000000005,7.733333,5.41061,2137400
2000-01-21,7.8,7.9166669999999995,7.691667,7.7083330000000005,5.393118,1041000
2000-01-24,7.733333,7.85,7.633333,7.65,5.352304,990600
2000-01-25,7.616667,7.691667,7.525,7.5416669999999995,5.276509,837000
2000-01-26,7.566667,7.575,7.366667,7.4583330000000005,5.218207,535400
2000-01-27,7.4166669999999995,7.433333,7.316667,7.383333,5.165734,267000
2000-01-28,7.383333,7.408333,7.266667,7.325,5.124919,484400
2000-01-31,7.341667,7.466667,7.2,7.4583330000000005,5.218207,466400
2000-02-01,7.425,7.425,7.25,7.391667,5.171563,262400
2000-02-02,7.366667,7.5416669999999995,7.3,7.4,5.1773940000000005,470000
2000-02-03,7.366667,7.6666669999999995,7.366667,7.558333,5.2881730000000005,697400
2000-02-04,7.525,7.525,7.15,7.266667,5.084107,591000
2000-02-07,7.191667,7.25,7.175,7.2,5.0374620000000006,723600
2000-02-08,7.2083330000000005,7.216667,7.075,7.1,4.967498,411000
2000-02-09,7.125,7.125,7.033333,7.05,4.932517,463400
2000-02-10,7.05,7.216667,7.05,7.05,4.932517,427400
2000-02-11,7.05,7.0833330000000005,6.883333,6.908333,4.8334,653000
2000-02-14,6.925,7.0,6.9,6.941667,4.856723000000001,422000
2000-02-15,6.883333,7.025,6.808333,7.0,4.897533999999999,679400
2000-02-16,6.9583330000000005,6.975,6.816667,6.825,4.775096,314000
2000-02-17,6.825,6.883333,6.608333,6.625,4.635166000000001,683000
2000-02-18,6.6,6.75,6.6,6.7,4.687639,747000
2000-02-22,6.783333,6.783333,6.658333,6.716667,4.6993,594000
2000-02-23,6.633333,6.766667,6.491667,6.691667,4.68181,812000
2000-02-24,6.658333,6.6666669999999995,6.2,6.375,4.460254,1195400
2000-02-25,6.2,6.408333,6.2,6.283333,4.3961190000000006,684600
2000-02-28,6.316667,6.433333,6.283333,6.283333,4.3961190000000006,771600
2000-02-29,6.316667,6.366667,6.275,6.35,4.442762999999999,950000
2000-03-01,6.316667,6.325,6.183333,6.275,4.39029,388400
2000-03-02,6.3,6.3,6.0833330000000005,6.15,4.302834,697400
2000-03-03,6.1666669999999995,6.1666669999999995,5.991667,6.058333,4.2386989999999996,724400
2000-03-06,6.025,6.025,5.866667,5.95,4.162903,376400
2000-03-07,6.0,6.0,5.6,5.725,4.005483,681600
