Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.96875,11.0,10.640625,10.796875,9.7812,1046800
2000-01-04,10.6875,10.75,10.617175,10.617175,9.618406,813600
2000-01-05,10.671875,10.71875,10.59375,10.648425,9.646717,568400
2000-01-06,10.59375,10.8125,10.578125,10.703125,9.696274,490400
2000-01-07,10.59375,10.8125,10.46875,10.617175,9.618406,804000
2000-01-10,10.59375,10.90625,10.578125,10.773425,9.759958000000001,1740000
2000-01-11,10.875,10.875,10.46875,10.515625,9.526407,647600
2000-01-12,10.5,10.5,10.0,10.03125,9.0876,636400
2000-01-13,10.125,10.40625,10.0625,10.328125,9.356547,561600
2000-01-14,10.421875,11.1875,10.40625,11.0703,10.028908,1625200
2000-01-18,11.15625,11.15625,10.46875,10.46875,9.483944000000001,942400
2000-01-19,10.4375,10.65625,10.25,10.585925,9.590097,857600
2000-01-20,10.609375,10.71875,10.5,10.60155,9.60425,1080800
2000-01-21,10.578125,10.75,10.5,10.59375,9.597186,339200
2000-01-24,10.625,10.75,10.21875,10.5,9.512255,1446000
2000-01-25,10.554675,10.75,10.484375,10.492175,9.505165,595600
2000-01-26,10.5625,10.890625,10.5625,10.734375,9.724582,895200
2000-01-27,10.8125,10.875,10.734375,10.734375,9.724582,686800
2000-01-28,10.703125,10.875,10.125,10.523425,9.533475,1000400
2000-01-31,10.421875,10.5625,10.28125,10.53905,9.547632,500800
2000-02-01,10.625,10.625,10.1875,10.554675,9.561786,805200
2000-02-02,10.5625,10.5625,9.6875,10.453125,9.469789,1085600
2000-02-03,10.4375,11.34375,10.375,11.0625,10.021839,1152800
2000-02-04,11.140625,11.375,10.953125,11.21875,10.163391,692400
2000-02-07,11.3125,11.3125,10.484375,10.59375,9.597186,709600
2000-02-08,10.875,10.9375,10.46875,10.546875,9.554722,1979600
2000-02-09,10.5625,10.78125,9.828125,10.0,9.059289999999999,1277200
2000-02-10,10.078125,10.125,8.890625,9.304675,8.429377,3404000
2000-02-11,9.5,9.53125,9.125,9.5,8.606324,3893200
2000-02-14,9.484375,9.8125,9.40625,9.429675,8.542617,2596800
2000-02-15,9.5,9.53125,9.3125,9.375,8.493085,1386000
2000-02-16,9.390625,9.578125,9.3125,9.421875,8.535549000000001,1514000
2000-02-17,9.578125,9.578125,8.875,9.125,8.266602,1335200
2000-02-18,9.1875,9.1875,8.65625,8.65625,7.841947,1092400
2000-02-22,8.6875,8.71875,8.40625,8.546875,7.742863000000001,1075600
2000-02-23,8.546875,8.59375,8.15625,8.15625,7.388984,2822800
2000-02-24,8.28125,8.90625,8.21875,8.34375,7.558845,1948400
2000-02-25,8.46875,8.53125,8.3125,8.492175,7.693306,1822400
2000-02-28,8.421875,9.78125,8.375,9.773425,8.854030999999999,1756000
2000-02-29,9.59375,9.671875,9.109375,9.4375,8.549704,1502400
2000-03-01,9.65625,9.65625,9.34375,9.5078,8.613391,1018000
2000-03-02,9.40625,10.0,9.3125,9.66405,8.754941,1496800
2000-03-03,9.71875,9.78125,9.5,9.75,8.832808,636800
2000-03-06,9.734375,9.75,9.1875,9.1875,8.323224,1230800
2000-03-07,9.28125,9.28125,9.0,9.125,8.266602,883200
2000-03-08,9.125,9.28125,9.0,9.15625,8.29491,1740400
2000-03-09,9.03125,9.15625,8.953125,9.0,8.153363,2971200
2000-03-10,9.0,9.03125,8.84375,8.90625,8.068431,1376400
2000-03-13,8.84375,8.859375,8.46875,8.6328,7.820703,2150800
2000-03-14,8.65625,8.78125,8.609375,8.71875,7.898569,1354400
2000-03-15,8.71875,8.9375,8.65625,8.921875,8.082585,2438400
2000-03-16,9.125,10.046875,9.046875,9.640625,8.733721000000001,966000
2000-03-17,9.546875,10.1875,9.40625,9.742175,8.825718,875600
2000-03-20,9.6875,9.6875,9.28125,9.3125,8.436463,934800
2000-03-21,9.40625,10.03125,9.3125,9.9453,9.009737,686000
2000-03-22,10.125,10.375,10.0,10.21875,9.257462,1466800
2000-03-23,10.0625,10.875,10.0,10.71875,9.710427000000001,2198800
2000-03-24,10.71875,10.984375,10.625,10.96875,9.936909,1048400
2000-03-27,11.03125,11.03125,10.5625,10.59375,9.597186,2210400
2000-03-28,10.710925,11.25,10.59375,10.984375,9.951063000000001,1311200
2000-03-29,10.960925,11.0,10.8125,10.875,9.851980000000001,1109200
2000-03-30,10.75,10.75,10.46875,10.546875,9.554722,894400
2000-03-31,10.53125,10.53125,9.78125,9.9375,9.002669000000001,2139600
2000-04-03,10.015625,10.21875,9.21875,9.21875,8.351532,1092000
2000-04-04,9.25,9.9375,9.125,9.890625,8.960203,554800
2000-04-05,9.53515,9.96875,9.53125,9.859375,8.931892999999999,387600
2000-04-06,9.96875,9.96875,9.59375,9.90625,8.974358,262400
2000-04-07,9.6953,9.75,9.28125,9.484375,8.592172999999999,500800
2000-04-10,9.621075,9.621075,9.28125,9.296875,8.422307,552800
2000-04-11,9.484375,9.734375,8.875,9.5078,8.613391,1147200
2000-04-12,9.46875,9.984375,9.34375,9.78125,8.861118,624800
2000-04-13,9.71875,9.9375,9.625,9.625,8.719566,981200
2000-04-14,9.6875,9.75,9.4375,9.550775,8.652325999999999,931600
2000-04-17,9.40625,9.6875,8.78125,8.78125,7.955188000000001,1789200
2000-04-18,8.84375,10.578125,8.6875,10.328125,9.356547,1990000
2000-04-19,10.15625,10.40625,9.71875,10.140625,9.186686,892000
2000-04-20,10.203125,10.25,10.03125,10.0625,9.115910000000001,669200
2000-04-24,10.25,10.25,9.46875,9.625,8.719566,980800
2000-04-25,9.78125,10.6875,9.65625,10.6875,9.682117,1352000
2000-04-26,10.59375,10.6875,10.40625,10.5,9.512255,555200
2000-04-27,10.5,10.6875,10.359375,10.41015,9.430857000000001,1601200
2000-04-28,10.5,10.6875,10.34375,10.6875,9.682117,1891600
2000-05-01,10.6875,10.6875,10.1875,10.1875,9.229151,1812000
2000-05-02,10.375,10.53125,9.875,9.9375,9.002669000000001,740800
2000-05-03,9.84375,9.875,9.46875,9.47265,8.581548,1802000
